,device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,notes,New hopper weights,Notes,,,,,,
,8,M12,4-Feb,23.42,-0.38,,,,7,422.98,6.46,6.46,20.026,Fr1 with chow,Pellet in cage,,,,,,,*M1 switched back to freefeed
,9,M13,4-Feb,26.02,-0.78,,,,7,326.41,3.58,3.58,11.098,Fr1 with chow,Pellet in cage,,,,,,,13.64
,0,M14,4-Feb,22.88,-0.68,,,,7,331.03,4.16,4.16,12.896,Fr1 with chow,,,,,,,,
,1,M5,5-Feb,28.25,-0.46,,,,8,445.97,1.18,1.18,3.658,Fr1 with chow,,,,,,,,
,2,M6,5-Feb,31.85,0.82,,,,8,393.38,4.65,4.65,14.415,Fr1 with chow,,,,,,,,
,3,M7,5-Feb,30.59,-0.01,,,,8,445.11,4.08,4.08,12.648,Fr1 with chow,,,Average weight,,,Group weight,,
,4,M8,5-Feb,31.9,0.68,,,,8,439.03,4.13,4.13,12.803,Fr1 with chow,,M1,29.025,,Free,27.1635,"1,2,5,6,7",
,5,M9,5-Feb,27.01,0.27,,,,8,469.78,3.12,3.12,9.672,Fr1 with chow,,M2,31.29416667,,Fr1,27.3145,"3,4,8,9,10",
,6,M10,5-Feb,23.61,0.14,,,,8,457.97,1.34,1.34,4.154,Fr1 with chow,,M3,30.67833333,,,,,
,7,M11,5-Feb,24.03,-0.28,,,,8,322.58,1.02,1.02,3.162,Fr1 with chow,,M4,31.64583333,,,,,
,8,M12,5-Feb,23.84,0.42,,,,8,418.78,4.2,4.2,13.02,Fr1 with chow,,M5,27.28583333,,,,,
,9,M13,5-Feb,26.03,0.01,,,,8,324.3,2.11,2.11,6.541,Fr1 with chow,,M6,23.96916667,,,,,
,0,M14,5-Feb,23.42,0.54,,,,8,328.59,2.44,2.44,7.564,Fr1 with chow,,M7,24.24333333,,,,,
,1,M5,6-Feb,29.01,0.76,,,,9,442.99,2.98,2.98,9.238,Fr1 with chow,,M8,24.12083333,,,,,
,2,M6,6-Feb,31.26,-0.59,,,,9,389.03,4.35,4.35,13.485,Fr1 with chow,,M9,26.45666667,,,,,
,3,M7,6-Feb,29.3,-1.29,,,,9,443.69,1.42,1.42,4.402,Fr1 with chow,475.65,M10,23.67083333,,,,,
,4,M8,6-Feb,31.62,-0.28,,,,9,433.58,5.45,5.45,16.895,Fr1 with chow,478.99,,,,,,,Cage Changed
,5,M9,6-Feb,26.98,-0.03,,,,9,465.49,4.29,4.29,13.299,Fr1 with chow,,,,,,,,Cage Changed
,6,M10,6-Feb,23.81,0.2,,,,9,456,1.97,1.97,6.107,Fr1 with chow,,,,,,,,Cage Changed
,7,M11,6-Feb,24.02,-0.01,,,,9,319,3.58,3.58,11.098,Fr1 with chow,346.15,,,,,,,Cage Changed
,8,M12,6-Feb,23.97,0.13,,,,9,414.28,4.5,4.5,13.95,Fr1 with chow,434.88,,,,,,,Switched to high fat
,9,M13,6-Feb,25.62,-0.41,,,,9,323.01,1.29,1.29,3.999,Fr1 with chow,,,,,,,,Switched to high fat
,0,M14,6-Feb,23.78,0.36,,,,9,323.77,4.82,4.82,14.942,Fr1 with chow,,,,,,,,Switched to high fat
,1,M5,7-Feb,29.57,0.56,,,,10,438.56,4.43,4.43,13.733,Fr1 with chow,471.19,,,,,,,Switched to high fat
,2,M6,7-Feb,32.01,0.75,,,,10,383.6,5.43,5.43,16.833,Fr1 with chow,,,,,,,,Switched to high fat
,3,M7,7-Feb,31.51,2.21,,,,10,471.11,4.54,4.54,14.074,Fr1 with chow,,,,,,,,Switched to high fat
,4,M8,7-Feb,31.43,-0.19,,,,10,473.23,5.76,5.76,17.856,Fr1 with chow,,,,,,,,Switched to high fat
,5,M9,7-Feb,27.31,0.33,,,,10,460.43,5.06,5.06,15.686,Fr1 with chow,479.51,,,,,,,Switched to high fat
,6,M10,7-Feb,24.67,0.86,,,,10,452.03,3.97,3.97,12.307,Fr1 with chow,477.4,,,,,,,
,7,M11,7-Feb,24.55,0.53,,,,10,341.83,4.32,4.32,13.392,Fr1 with chow,,,,,,,,
,8,M12,7-Feb,24.51,0.54,,,,10,429.35,5.53,5.53,17.143,Fr1 with chow,,,,,,,,
,9,M13,7-Feb,26.9,1.28,,,,10,319.27,3.74,3.74,11.594,Fr1 with chow,,,,,,,,
,0,M14,7-Feb,24.31,0.53,,,,10,318.79,4.98,4.98,15.438,Fr1 with chow,,,,,,,,
,1,M5,8-Feb,28.78,-0.79,,,,11,466.76,4.43,4.43,13.733,Fr1 with chow,,,,,,,,
,2,M6,8-Feb,31.34,-0.67,,,,11,377.76,5.84,5.84,18.104,Fr1 with chow,,,,,,,,
,3,M7,8-Feb,30.9,-0.61,,,,11,465.7,5.41,5.41,16.771,Fr1 with chow,,,,,,,,
,4,M8,8-Feb,31.03,-0.4,,,,11,468.78,4.45,4.45,13.795,Fr1 with chow,,,,,,,,
,5,M9,8-Feb,26.83,-0.48,,,,11,476,3.51,3.51,10.881,Fr1 with chow,,,,,,,,
,6,M10,8-Feb,24.44,-0.23,,,,11,472.37,5.03,5.03,15.593,Fr1 with chow,,,,,,,,
,7,M11,8-Feb,24.32,-0.23,,,,11,337.81,4.02,4.02,12.462,Fr1 with chow,,,,,,,,
,8,M12,8-Feb,24.61,0.1,,,,11,423.97,5.38,5.38,16.678,Fr1 with chow,,,,,,,,
,9,M13,8-Feb,27.03,0.13,,,,11,315.2,4.07,4.07,12.617,Fr1 with chow,,,,,,,,
,0,M14,8-Feb,23.99,-0.32,,,,11,314.45,4.34,4.34,13.454,Fr1 with chow,350.03,,,,,,,
,1,M5,9-Feb,28.97,0.19,,,,12,462.51,4.25,4.25,13.175,Fr1 with chow,,,,,,,,
,2,M6,9-Feb,31.51,0.17,,,,12,373.27,4.49,4.49,13.919,Fr1 with chow,405.97,,,,,,,
,3,M7,9-Feb,30.83,-0.07,,,,12,461.38,4.32,4.32,13.392,Fr1 with chow,,,,,,,,
,4,M8,9-Feb,31.47,0.44,,,,12,462.66,6.12,6.12,18.972,Fr1 with chow,,,,,,,,
,5,M9,9-Feb,26.87,0.04,,,,12,472.5,3.5,3.5,10.85,Fr1 with chow,,,,,,,,
,6,M10,9-Feb,24.02,-0.42,,,,12,468.62,3.75,3.75,11.625,Fr1 with chow,,,,,,,,
,7,M11,9-Feb,24.5,0.18,,,,12,334.45,3.36,3.36,10.416,Fr1 with chow,,,,,,,,
,8,M12,9-Feb,24.46,-0.15,,,,12,419,4.97,4.97,15.407,Fr1 with chow,,,,,,,,
,9,M13,9-Feb,27.03,0,,,,12,311.61,3.59,3.59,11.129,Fr1 with chow,,,,,,,,
,0,M14,9-Feb,23.82,-0.17,,,,12,345.78,4.25,4.25,13.175,Fr1 with chow,,,,,,,,
,1,M5,10-Feb,29.485,0.515,-0.6,,,13,462.03,0.48,,1.488,Fr1 with chow,464.68,"Device got stuck closed, problem fixed",,,,,,
,2,M6,10-Feb,31.15,-0.36,-0.86,,,13,400.4,5.57,5.57,17.267,Fr1 with chow,409.01,Changed diets to HFD at ~2:50PM,,,,,,
,3,M7,10-Feb,30.65,-0.18,-0.86,,,13,456.18,5.2,5.2,16.12,Fr1 with chow,475.42,,,,,,,
,4,M8,10-Feb,30.78,-0.69,-0.65,,,13,458.18,4.48,4.48,13.888,Fr1 with chow,473.42,,,,,,,334.14
,5,M9,10-Feb,26.68,-0.19,-0.63,,,13,467.52,4.98,4.98,15.438,Fr1 with chow,469.14,,,,,,,317.15
,6,M10,10-Feb,23.67,-0.35,-1,,,13,464.19,4.43,4.43,13.733,Fr1 with chow,482.03,,,,,,,333.3
,7,M11,10-Feb,23.97,-0.53,-0.58,,,13,330.52,3.93,3.93,12.183,Fr1 with chow,354.16,,,,,,,419.46
,8,M12,10-Feb,23.66,-0.8,-0.85,,,13,413.82,5.18,5.18,16.058,Fr1 with chow,424.68,,,,,,,
,9,M13,10-Feb,26.98,-0.05,0.08,,,13,307.52,4.09,4.09,12.679,Fr1 with chow,325.2,,,,,,,
,0,M14,10-Feb,23.81,-0.01,-0.5,-0.645,,13,341.38,4.4,4.4,13.64,Fr1 with chow,352.54,,,,,,,
,1,M5,11-Feb,30,0.515,,,,14,459.3,5.38,5.38,28.1912,Free with HFD,All good!,Daily calories,,,,,,
,2,M6,11-Feb,33.6,2.45,,,,14,403.2,5.81,5.81,30.4444,Free with HFD,,Free Chow,FR1 Chow,Free HFD,FR1 HFD,,,
,3,M7,11-Feb,32.41,1.76,,,,14,469.8,5.62,5.62,29.4488,Fr1 with HFD,,,,#VALUE!,#VALUE!,,,
,4,M8,11-Feb,33,2.22,,,,14,467.62,5.8,5.8,30.392,Fr1 with HFD,,,,,,,,
,5,M9,11-Feb,28.6,1.92,,,,14,463.4,5.74,5.74,30.0776,Free with HFD,,,,,,,,
,6,M10,11-Feb,25.4,1.73,,,,14,477.2,4.83,4.83,25.3092,Free with HFD,,,,,,,,
,7,M11,11-Feb,25,1.03,,,,14,350.3,3.86,3.86,20.2264,Free with HFD,,,,,,,,
,8,M12,11-Feb,24.5,0.84,,,,14,420.13,4.55,4.55,23.842,Fr1 with HFD,,,,,,,,
,9,M13,11-Feb,28.3,1.32,,,,14,320.43,4.77,4.77,24.9948,Fr1 with HFD,,,,,,,,
,0,M14,11-Feb,24.85,1.04,,,,14,348.25,4.29,4.29,22.4796,Fr1 with HFD,,Daily Avg Calories,,,,,,
,1,M5,12-Feb,31.13,1.13,,1.645,2.307,15,453.55,5.75,5.75,30.13,Free with HFD,Free,28.43224,,,,,,
,2,M6,12-Feb,34.55,0.95,,3.4,1.894,15,397.59,5.61,5.61,29.3964,Free with HFD,FR1,27.21656,,,,,,
,3,M7,12-Feb,32.97,0.56,,2.32,,15,463.72,6.08,6.08,31.8592,Fr1 with HFD,,,,,,,,
,4,M8,12-Feb,33.49,0.49,,2.71,,15,462.03,5.59,5.59,29.2916,Fr1 with HFD,,,,,,,,
,5,M9,12-Feb,29.21,0.61,,2.53,,15,458.03,5.37,5.37,28.1388,Free with HFD,,,,,,,,
,6,M10,12-Feb,25.82,0.42,,2.15,,15,471.86,5.34,5.34,27.9816,Free with HFD,,,,,,,,
,7,M11,12-Feb,25.78,0.78,,1.81,,15,345.24,5.06,5.06,26.5144,Free with HFD,,,,,,,,
,8,M12,12-Feb,24.61,0.11,,0.95,,15,415.72,4.41,4.41,23.1084,Fr1 with HFD,,,,,,,,
,9,M13,12-Feb,28.42,0.12,,1.44,,15,315.79,4.64,4.64,24.3136,Fr1 with HFD,,,,,,,,
,0,M14,12-Feb,25.86,1.01,,2.05,,15,343,5.25,5.25,27.51,Fr1 with HFD,,Daily Avg Calories,,,,,,
,1,M5,13-Feb,32.2,1.07,,,,16,449,4.55,4.55,23.842,Free with HFD,Free,23.13984,,,,,,Weights before food change:
,2,M6,13-Feb,34.47,-0.08,,,,16,393.9,3.69,3.69,19.3356,Free with HFD,FR1,17.87888,,,,,,321.5
,3,M7,13-Feb,33.25,0.28,,,,16,459.84,3.88,3.88,20.3312,Fr1 with HFD,,,,,,,,300.9
,4,M8,13-Feb,33.46,-0.03,,,,16,458.62,3.41,3.41,17.8684,Fr1 with HFD,,,,,,,,320.99
,5,M9,13-Feb,29.4,0.19,,,,16,453.46,4.57,4.57,23.9468,Free with HFD,,,,,,,,398.01
,6,M10,13-Feb,26.01,0.19,,,,16,466.23,5.63,5.63,29.5012,Free with HFD,,,,,,,,Mason
,7,M11,13-Feb,26.41,0.63,,,,16,341.6,3.64,3.64,19.0736,Free with HFD,,,,,,,,Mason
,8,M12,13-Feb,24.24,-0.37,,,,16,411.62,4.1,4.1,21.484,Fr1 with HFD,,,,,,,,Mason
,9,M13,13-Feb,28.34,-0.08,,,,16,313.3,2.49,2.49,13.0476,Fr1 with HFD,,,,,,,,Mason
,0,M14,13-Feb,25.6,-0.26,,,,16,339.82,3.18,3.18,16.6632,Fr1 with HFD,,Daily Avg Calories,,,,,,Mason
,1,M5,14-Feb,32.82,0.62,,3.335,3.175,17,446.7,2.3,2.3,12.052,Free with HFD,Free,12.85896,,,,,,Mason
,2,M6,14-Feb,35.23,0.76,,4.08,2.01,17,391.2,2.7,2.7,14.148,Free with HFD,FR1,#VALUE!,,,,,,Mason
,3,M7,14-Feb,34,0.75,,3.35,,17,457.67,2.17,2.17,11.3708,Fr1 with HFD,,,,,,,,Mason
,4,M8,14-Feb,33.97,0.51,,3.19,,17,456.69,1.93,1.93,10.1132,Fr1 with HFD,,,,,,,,Mason
,5,M9,14-Feb,29.72,0.32,,3.04,,17,449.86,3.6,3.6,18.864,Free with HFD,,,,,,,,Mason
,6,M10,14-Feb,26.03,0.02,,2.36,,17,464.83,1.4,1.4,7.336,Free with HFD,,,,,,,,Mason
,7,M11,14-Feb,27.03,0.62,,3.06,,17,339.33,2.27,2.27,11.8948,Free with HFD,,,,,,,,Mason
,8,M12,14-Feb,24.17,-0.07,,0.51,,17,410.55,1.07,1.07,5.6068,Fr1 with HFD,,,,,,,,Lisa
,9,M13,14-Feb,27.97,-0.37,,0.99,,17,312.53,0.77,,#VALUE!,Fr1 with HFD,,,,,,,,Lisa
,0,M14,14-Feb,25.82,0.22,,2.01,,17,334.03,5.79,5.79,30.3396,Fr1 with HFD,,Daily Avg Calories,,,,,,Lisa
,1,M5,15-Feb,33.47,0.65,3.47,3.985,3.589,18,441.83,4.87,4.87,25.5188,Free with HFD,Free,21.82984,,,,,,Lisa
,2,M6,15-Feb,35.74,0.51,2.14,4.59,2.236,18,385.21,5.99,5.99,31.3876,Free with HFD,FR1,15.17504,,,,,,Lex
,3,M7,15-Feb,33.97,-0.03,1.56,3.32,,18,454.41,3.26,3.26,17.0824,Fr1 with HFD,,,,,,,,Lex
,4,M8,15-Feb,35.22,1.25,2.22,4.44,,18,452.41,4.28,4.28,22.4272,Fr1 with HFD,,,,,,,,Lex
,5,M9,15-Feb,30.57,0.85,1.97,3.89,,18,445.53,4.33,4.33,22.6892,Free with HFD,,,,,,,,Lex
,6,M10,15-Feb,26.15,0.12,0.75,2.48,,18,462.13,2.7,2.7,14.148,Free with HFD,,,,,,,,Mason
,7,M11,15-Feb,26.97,-0.06,1.97,3,,18,336.39,2.94,2.94,15.4056,Free with HFD,,,,,,,,Mason
,8,M12,15-Feb,23.9,-0.27,-0.6,0.24,,18,408.6,1.95,1.95,10.218,Fr1 with HFD,,,,,,,,Mason
,9,M13,15-Feb,27.85,-0.12,-0.45,0.87,,18,310.34,2.19,2.19,11.4756,Fr1 with HFD,,,,,,,,Mason
,0,M14,15-Feb,26.12,0.3,1.27,2.31,,18,331.23,2.8,2.8,14.672,Fr1 with HFD,,,,,,,,Lex
,1,M5,16-Feb,33.54,0.07,,,,19,436.46,5.37,5.37,28.1388,Free with HFD,471.47,,,,,,,Lex
,2,M6,16-Feb,36.59,0.85,,,,19,379.31,5.9,5.9,30.916,Free with HFD,409.03,,,,,,,Lex
,3,M7,16-Feb,34.25,0.28,,,,19,446.55,7.86,7.86,41.1864,Fr1 with HFD,487.63,,,,,,,Lex
,4,M8,16-Feb,34.97,-0.25,,,,19,447.11,5.3,5.3,27.772,Fr1 with HFD,471.33,,,,,,,Lex
,5,M9,16-Feb,30.19,-0.38,,,,19,439.97,5.56,5.56,29.1344,Free with HFD,479.44,,,,,,,Lex
,6,M10,16-Feb,26.62,0.47,,,,19,455.68,6.45,6.45,33.798,Free with HFD,478.24,,,,,,,Lex
,7,M11,16-Feb,27.15,0.18,,,,19,332.59,3.8,3.8,19.912,Free with HFD,365.83,,,,,,,Lex
,8,M12,16-Feb,23.97,0.07,,,,19,405.3,3.3,3.3,17.292,Fr1 with HFD,424.98,,,,,,,Mason
,9,M13,16-Feb,27.68,-0.17,,,,19,307.66,2.68,2.68,14.0432,Fr1 with HFD,331.97,,,,,,,Mason
,0,M14,16-Feb,26.11,-0.01,,,,19,328.12,3.11,3.11,16.2964,Fr1 with HFD,354.01,,,,,,,Mason
,1,M5,17-Feb,33,-0.54,,3.515,4.067,20,467.99,3.48,3.48,18.2352,Free with HFD,,,,,,,,Mason
,2,M6,17-Feb,37.3,0.71,,6.15,2.284,20,406.03,3,3,15.72,Free with HFD,,,,,,,,Mason
,3,M7,17-Feb,34.9,0.65,,4.25,,20,485.2,2.43,2.43,12.7332,Fr1 with HFD,,,,,,,,Mason
,4,M8,17-Feb,34.4,-0.57,,3.62,,20,468.61,2.72,2.72,14.2528,Fr1 with HFD,,,,,,,,Mason
,5,M9,17-Feb,30.99,0.8,,4.31,,20,477.98,1.46,1.46,7.6504,Free with HFD,,,,,,,,Mason
,6,M10,17-Feb,26.4,-0.22,,2.73,,20,476.45,1.79,1.79,9.3796,Free with HFD,,,,,,,,Mason
,7,M11,17-Feb,27.6,0.45,,3.63,,20,363.16,2.67,2.67,13.9908,Free with HFD,,,,,,,,Mason
,8,M12,17-Feb,23.7,-0.27,,0.04,,20,423.97,1.01,1.01,5.2924,Fr1 with HFD,,,,,,,,Mason
,9,M13,17-Feb,28.3,0.62,,1.32,,20,330.25,1.72,1.72,9.0128,Fr1 with HFD,,,,,,,,Mason
,0,M14,17-Feb,26,-0.11,,2.19,,20,352.37,1.64,1.64,8.5936,Fr1 with HFD,,Daily Avg Calories,,,,,,
,1,M5,18-Feb,35.55,2.55,,6.065,4.721,21,464.11,3.88,3.88,20.3312,Free with HFD,Free,17.59592,,,,,,
,2,M6,18-Feb,37.22,-0.08,,6.07,2.246,21,402.36,3.67,3.67,19.2308,Free with HFD,FR1,12.8904,,,,,,
,3,M7,18-Feb,34.47,-0.43,,3.82,,21,482.61,2.59,2.59,13.5716,Fr1 with HFD,,,,,,,,
,4,M8,18-Feb,34.63,0.23,,3.85,,21,465.97,2.64,2.64,13.8336,Fr1 with HFD,,,,,,,,
,5,M9,18-Feb,31,0.01,,4.32,,21,474.4,3.58,3.58,18.7592,Free with HFD,,,,,,,,
,6,M10,18-Feb,26.52,0.12,,2.85,,21,473.84,2.61,2.61,13.6764,Free with HFD,,,,,,,,
,7,M11,18-Feb,28.27,0.67,,4.3,,21,360.11,3.05,3.05,15.982,Free with HFD,,,,,,,,
,8,M12,18-Feb,23.64,-0.06,,-0.02,,21,421.99,1.98,1.98,10.3752,Fr1 with HFD,,,,,,,,
,9,M13,18-Feb,28.2,-0.1,,1.22,,21,327.74,2.51,2.51,13.1524,Fr1 with HFD,,,,,,,,
,0,M14,18-Feb,26.17,0.17,,2.36,,21,349.79,2.58,2.58,13.5192,Fr1 with HFD,,,,,,,,
,1,M5,19-Feb,35.76,0.21,,,,22,461.01,3.1,3.1,16.244,Free with HFD,,,,,,,,
,2,M6,19-Feb,38.1,0.88,,,,22,398.74,3.62,3.62,18.9688,Free with HFD,,,,,,,,
